Transaction_ID,Vendor_Name,Award_Amount,Award_Agency,Award_Date,Award_Type,Performance_Country,Performance_State,Log_Award_Amount,Award_Agency_Code,Award_Type_Code,Performance_Country_Code,Performance_State_Code,Cluster,PCA1,PCA2,Anomaly
TRX00001,"Little, Chandler and Johnson",1384004.16,Department of Agriculture,2022-09-05,Indefinite Delivery Contract,USA,GA,14.140492143476502,0,2,2,2,3,1.7113645403673148,-0.9780247022554376,Normal
TRX00002,"Bryant, Castillo and Weaver",2800693.04,Department of Energy,2022-08-03,Time-and-Materials Contract,USA,GA,14.845377815858956,3,3,2,2,3,1.735646814943771,0.1470945995196987,Normal
TRX00003,"Burns, Nichols and Hernandez",4332198.07,NASA,2021-01-27,Fixed-Price Contract,USA,PA,15.281585839417462,6,1,2,7,1,-0.1266755198896514,2.137843213878346,Normal
TRX00004,"Choi, Gilmore and Hanson",3363947.05,Department of Education,2021-11-07,Indefinite Delivery Contract,MEX,TX,15.028625857030644,2,2,1,8,3,0.3435059461733374,0.7878126840439867,Normal
TRX00005,Ferrell Group,640640.51,NASA,2024-02-02,Indefinite Delivery Contract,USA,NY,13.370225312684145,6,2,2,5,1,-0.3269991811138252,0.7904076687696169,Normal
TRX00006,"Morris, Smith and Andrews",3692114.94,Department of Defense,2024-03-25,Time-and-Materials Contract,USA,NY,15.1217102771454,1,3,2,5,3,2.017591323713104,0.4216932290353625,Normal
TRX00007,"Bradford, Johnson and Cooper",218874.28,Department of Health and Human Services,2021-01-30,Cost-Reimbursement Contract,MEX,MI,12.296257348856324,4,0,1,3,2,-1.6369658642470726,-1.1728456206114568,Normal
TRX00008,Hicks PLC,3651449.89,Department of Defense,2021-07-09,Fixed-Price Contract,CAN,PA,15.110635150684436,1,1,0,7,2,-0.3818812883858243,-0.116664596876512,Normal
TRX00009,Wright-Medina,4762355.77,Department of Education,2022-11-16,Time-and-Materials Contract,MEX,TX,15.376253223424165,2,3,1,8,0,0.9145347057403777,0.9826620878195916,Normal
TRX00010,"Stephens, Sharp and Soto",4414689.84,NASA,2021-06-05,Fixed-Price Contract,CAN,PA,15.300448364653276,6,1,0,7,2,-1.4680731693204998,1.2335649528634365,Normal
TRX00011,"Paul, Liu and Kim",2192727.01,Department of Defense,2024-02-29,Indefinite Delivery Contract,USA,MI,14.60065699326032,1,2,2,3,3,1.574738729438628,-0.2859687432192719,Normal
TRX00012,"Horn, Hunt and Hoffman",2912700.43,Department of Energy,2022-04-12,Fixed-Price Contract,CAN,NC,14.884591534979636,3,1,0,4,2,-0.6421355982110277,-0.3664397120715335,Normal
TRX00013,Simmons-Lewis,1856278.91,NASA,2024-03-30,Indefinite Delivery Contract,CAN,TX,14.434084994534643,6,2,0,8,0,-1.5221420282362002,1.0427689804615696,Normal
TRX00014,Williams LLC,4457369.88,Department of Energy,2024-03-03,Time-and-Materials Contract,CAN,CA,15.31006966139018,3,3,0,0,0,0.7895177476116612,-0.9643202677296682,Normal
TRX00015,Anderson-Haynes,2155958.04,Department of Health and Human Services,2022-09-22,Fixed-Price Contract,MEX,NC,14.583746212685844,4,1,1,4,1,-0.3307393812531271,0.1931588304026194,Normal
TRX00016,Smith PLC,4297383.49,Department of Agriculture,2021-03-16,Fixed-Price Contract,CAN,FL,15.273517137460226,0,1,0,1,2,0.5309145553860714,-1.5691887232224349,Normal
TRX00017,"Rowland, Holt and Williams",793297.39,Department of Defense,2023-08-17,Indefinite Delivery Contract,MEX,CA,13.583954709790998,1,2,1,0,3,0.7659212101422549,-1.8854360156251984,Normal
TRX00018,"Hayes, Carlson and Mason",732016.76,Department of Transportation,2023-11-14,Cost-Reimbursement Contract,USA,PA,13.503560054944206,5,0,2,7,1,-1.0810406158835704,0.98561557012006,Normal
TRX00019,Owens LLC,4169779.81,NASA,2022-03-07,Fixed-Price Contract,CAN,TX,15.243374028844311,6,1,0,8,2,-1.5941784843859923,1.4189951404313468,Normal
TRX00020,"Greer, Clark and Cortez",2409704.85,NASA,2021-12-03,Indefinite Delivery Contract,MEX,NY,14.69501524407574,6,2,1,5,1,-0.4303675992827721,0.9875541675787998,Normal
TRX00021,Castillo LLC,4642271.97,Department of Defense,2021-03-22,Time-and-Materials Contract,USA,PA,15.350714668482269,1,3,2,7,3,1.9133868392331117,0.9619403712346936,Normal
TRX00022,Warren-Jackson,1620369.84,Department of Agriculture,2023-12-08,Time-and-Materials Contract,CAN,MI,14.298165594592096,0,3,0,3,0,0.749442095352563,-1.5769261116023352,Normal
TRX00023,"Montgomery, Allen and Woods",2290034.91,NASA,2021-10-19,Fixed-Price Contract,CAN,NY,14.64407805663018,6,1,0,5,2,-1.5481968722874708,0.4823620046535694,Normal
TRX00024,Khan-Webb,237423.99,Department of Agriculture,2024-03-21,Time-and-Materials Contract,USA,NY,12.377607020992588,0,3,2,5,3,1.0676378983055277,-1.184154278512047,Anomaly
TRX00025,Carter LLC,419272.73,Department of Health and Human Services,2021-08-12,Fixed-Price Contract,CAN,NC,12.94627927915702,4,1,0,4,2,-1.71176569712476,-1.0719200382087268,Normal
TRX00026,Cole-Hanson,2807611.31,Department of Agriculture,2023-11-24,Indefinite Delivery Contract,USA,MI,14.847844968356505,0,2,2,3,3,1.9149660817998784,-0.4152589773337516,Normal
TRX00027,"Marquez, Strickland and York",3154101.39,Department of Energy,2023-05-06,Fixed-Price Contract,CAN,NY,14.964214509516555,3,1,0,5,2,-0.7092816784355452,-0.1135331765835793,Normal
TRX00028,Lopez-Brennan,3173261.46,Department of Transportation,2022-11-06,Fixed-Price Contract,MEX,NC,14.970270783816416,5,1,1,4,1,-0.3976387014818074,0.6352614244845096,Normal
TRX00029,Lee-Flores,678519.71,Department of Education,2021-03-21,Time-and-Materials Contract,MEX,FL,13.427670281004207,2,3,1,1,0,0.7845060188968412,-1.4744169080190832,Normal
TRX00030,Moore PLC,2929300.4,NASA,2021-04-14,Time-and-Materials Contract,MEX,CA,14.89027452253016,6,3,1,0,0,0.582385178666498,0.0391761010599791,Normal
TRX00031,"Mckenzie, Clark and White",3464484.58,NASA,2023-06-24,Cost-Reimbursement Contract,MEX,PA,15.05807471782414,6,0,1,7,1,-1.318938057785251,1.5474653308169934,Normal
TRX00032,Griffith LLC,4256613.84,Department of Education,2023-06-29,Time-and-Materials Contract,CAN,VA,15.26398476385537,2,3,0,9,0,0.0898568402622055,0.6840528460032252,Normal
TRX00033,Cohen and Sons,2301001.67,Department of Transportation,2022-02-09,Fixed-Price Contract,MEX,TX,14.648855529381889,5,1,1,8,1,-0.9422228645863554,1.3310174329647393,Normal
TRX00034,Wilkins-Esparza,1420322.51,NASA,2023-11-17,Cost-Reimbursement Contract,CAN,VA,14.166395227573172,6,0,0,9,2,-2.581273958126564,1.0777273800156275,Anomaly
